INSERT INTO `owl_logs` VALUES ('2021-09-02 19:27:37', '40', 'ch573', 'ch575;ch573;', '*Benjamin Flores Ki Dir Ydih F Jibo*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:27:38', '40', 'ch573', 'ch575;ch573;', '*Benjamin Flores slips a mask off their face.*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:27:56', '27', 'ac467', 'ac467;', 'Connected from 105.72.60.186 - 4AEE6BAD8F515A1A5272F0A642A4FEA4')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:29:26', '27', 'ac468', 'ac468;', 'Connected from 105.154.1.226 - C35DC12B8B77E657A3310485E60AA333')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:29:33', '27', 'ac467', 'ac467;ch577;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:29:33', '27', 'ac467', 'ac467;ch577;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:29:42', '27', 'ac469', 'ac469;', 'Connected from 105.158.174.108 - E893C4C748E6B03025B9B37DF6E54DA4')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:30:17', '27', 'ac470', 'ac470;', 'Connected from 196.74.174.124 - 1777AFEE7CD43A44D6D3DDB689AF45B3')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:02', '27', 'ac468', 'ac468;ch578;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:02', '27', 'ac468', 'ac468;ch578;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:02', '8', 'ch577', 'ch573;ch577;', 'f10 khdama?')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:06', '8', 'ch573', 'ch573;ch577;', 'yp')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:26', '27', 'ac470', 'ac470;ch579;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:26', '27', 'ac470', 'ac470;ch579;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:39', '27', 'ac469', 'ac469;ch580;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:31:40', '27', 'ac469', 'ac469;ch580;', 'Spawned')
