[0:14:45] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:14:45] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:14:52] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :login ***
[0:14:53] (PlayerName:Tony_Salvador | UserName:TONYBOSS) :f Jester ANa f graje 
[0:14:58] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:14:58] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:14:58] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:15:5] (PlayerName:RobErto_Jmaes | UserName:reboretojames) :login ***
[0:15:11] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:15:21] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talk In Radio
[0:15:21] (PlayerName:Jeffry_Cross | UserName:ASPRO) :Talking On The Radio
[0:15:21] (PlayerName:Jeffry_Cross | UserName:ASPRO) :me Talking On The Radio
[0:15:29] (PlayerName:Jeffry_Cross | UserName:ASPRO) :f finko
[0:15:32] (PlayerName:Kane_Sanders | UserName:LasDos) :stopanim
[0:15:32] (PlayerName:Alexa_Gomez | UserName:KEKE) :fu
[0:15:34] (PlayerName:Alexa_Gomez | UserName:KEKE) :fu
[0:15:36] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gate
[0:15:38] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:15:42] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gate
[0:15:44] (PlayerName:Jeffry_Cross | UserName:ASPRO) :pickball
[0:15:45] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:15:47] (PlayerName:Jeffry_Cross | UserName:ASPRO) :gate
[0:15:49] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:15:51] (PlayerName:Jeffry_Cross | UserName:ASPRO) :friends
[0:15:58] (PlayerName:Jester_Gomez | UserName:ladoss) :moto
[0:16:10] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:16:11] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
[0:16:25] (PlayerName:Jester_Gomez | UserName:ladoss) :f ana jay
[0:16:30] (PlayerName:Jester_Gomez | UserName:ladoss) :fall
[0:16:34] (PlayerName:Jester_Gomez | UserName:ladoss) :stopanim
[0:16:34] (PlayerName:Jester_Gomez | UserName:ladoss) :gate
[0:16:37] (PlayerName:Kane_Sanders | UserName:LasDos) :harvest
[0:16:39] (PlayerName:Denver_Morata | UserName:denver) :heal 1 0
[0:16:43] (PlayerName:Jester_Gomez | UserName:ladoss) :fall
[0:16:47] (PlayerName:Tony_Accardo | UserName:Yassir980) :gov Concour Mecano On !!
[0:16:52] (PlayerName:Kane_Sanders | UserName:LasDos) :plant
[0:17:1] (PlayerName:NOUR_TCH | UserName:SFRODY) :fp
[0:17:1] (PlayerName:Jeffry_Cross | UserName:ASPRO) :f lafof o lafofa
[0:17:9] (PlayerName:Kane_Sanders | UserName:LasDos) :takemarijuana
