[0:9:11] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:9:12] (PlayerName:Yone_Fizi | UserName:shanki1z) :/me kichouf fe jibo
[0:9:12] (PlayerName:Yone_Fizi | UserName:shanki1z) :/mekichouf/fjibo
[0:9:13] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:14] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:14] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :duty
[0:9:18] (PlayerName:Yone_Fizi | UserName:shanki1z) :aheal 35
[0:9:20] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:21] (PlayerName:Moza_Diaz | UserName:moza) :pay 11 4000
[0:9:27] (PlayerName:Mario_Latino | UserName:marouane) :goto Mario_Latino
[0:9:34] (PlayerName:Eric_Geostrica | UserName:CHLH) :aduty
[0:9:36] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :f si sherif  fink
[0:9:36] (PlayerName:Yone_Fizi | UserName:shanki1z) :f sat darte wahad lcommand o ana nheali rassi wtf
[0:9:40] (PlayerName:Inzo_Martino | UserName:INZO) :idle
[0:9:44] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:55] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:9:57] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :gate
[0:9:58] (PlayerName:Mario_Latino | UserName:marouane) :goto Mario_Latino
[0:9:58] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:9:59] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :gate
[0:10:4] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:10:4] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:10:5] (PlayerName:Orland_Anderson | UserName:9wi9iza) :aheal 16
[0:10:10] (PlayerName:Orland_Anderson | UserName:9wi9iza) :aheal 16
[0:10:11] (PlayerName:SANTA_CROSS | UserName:santa) :KNCHOF LMIHFADA
[0:10:11] (PlayerName:SANTA_CROSS | UserName:santa) :me KNFTACH LMIHFADA
[0:10:11] (PlayerName:Lokino_Battreal | UserName:LOKINO) :me kijbed radio o kidwi fih
[0:10:11] (PlayerName:Lokino_Battreal | UserName:LOKINO) :t POLICE STOP
[0:10:13] (PlayerName:Orland_Anderson | UserName:9wi9iza) :aheal 16
[0:10:13] (PlayerName:SANTA_CROSS | UserName:santa) :KNCHOF LMIHFADA
[0:10:13] (PlayerName:SANTA_CROSS | UserName:santa) :me KNFTACH LMIHFADA
[0:10:15] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:10:16] (PlayerName:SANTA_CROSS | UserName:santa) :KNCHOF LMIHFADA
[0:10:16] (PlayerName:SANTA_CROSS | UserName:santa) :me KNFTACH LMIHFADA
[0:10:18] (PlayerName:SANTA_CROSS | UserName:santa) :KNCHOF LMIHFADA
[0:10:18] (PlayerName:SANTA_CROSS | UserName:santa) :me KNFTACH LMIHFADA
[0:10:31] (PlayerName:Yone_Fizi | UserName:shanki1z) :aheal 35
[0:10:35] (PlayerName:Yone_Fizi | UserName:shanki1z) :aheal 35
[0:10:36] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:10:37] (PlayerName:Yone_Fizi | UserName:shanki1z) :aheal 35
[0:10:40] (PlayerName:Paul_Robert | UserName:Adnane) :f ana jay
[0:10:42] (PlayerName:Yone_Fizi | UserName:shanki1z) :wait
[0:10:42] (PlayerName:Paul_Robert | UserName:Adnane) :backup
[0:10:42] (PlayerName:Fayyo_Sky | UserName:Fayyo) :status dayakh
[0:10:44] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:10:46] (PlayerName:Mario_Latino | UserName:marouane) :kay9lbfjibo
[0:10:46] (PlayerName:Mario_Latino | UserName:marouane) :me kay9lb/kaysd jib dyalo
[0:10:59] (PlayerName:Orland_Anderson | UserName:9wi9iza) :idle
[0:11:6] (PlayerName:SANTA_CROSS | UserName:santa) :slapass
[0:11:7] (PlayerName:Kedon_Slovis | UserName:ilyaslol) :f ana kayn f lbasa tar lmalabise f departement
[0:11:7] (PlayerName:SANTA_CROSS | UserName:santa) :slapass
[0:11:11] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:15] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:19] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:20] (PlayerName:Marco_Decaprio | UserName:younessaziz) :pic
[0:11:22] (PlayerName:Orland_Anderson | UserName:9wi9iza) :idle
